"wl","sturt_leaf","sturt_nectar","sturt_dryefn","aus_leaf","aus_nectar1","aus_dryefn1","aus_leaf2","aus_dryefn2","aus_nectar2"
300,137.94559806859,81.8578686878153,82.775628310452,-34.9034416059865,-34.6213378652698,-26.926503089878,-30.3814995630447,-16.4192343541776,-59.0390719553454
301,137.05875240567,81.7421691456667,82.4409434504777,-34.6984769387466,-34.4768487348134,-26.9585641762221,-30.3500409089894,-16.3154709295765,-58.326876800006
302,136.224553402141,81.6483071385016,82.1389365853874,-34.5006542951404,-34.3410453057986,-26.9848587086354,-30.3180758398145,-16.2119363362353,-57.646406898456
303,135.443948899448,81.5766237976433,81.8700726170005,-34.3092052910796,-34.2139923055361,-27.0049367544137,-30.2854141092405,-16.1088608078216,-56.9981336557332
304,134.717886739039,81.5274602544154,81.6348164471365,-34.123361542476,-34.0957544613366,-27.0183483808532,-30.2518654709879,-16.006474578003,-56.3825284768755
305,134.047314762358,81.5011576401414,81.433632977615,-33.9423546652411,-33.9863965005106,-27.0246436552499,-30.2172396787772,-15.905007880447,-55.8000627669207
306,133.433180810852,81.4980570861446,81.2669871102554,-33.7654162752867,-33.8859831503688,-27.0233726448998,-30.1813464863289,-15.804690948821,-55.2512079309065
307,132.875690718364,81.5179519563601,81.1349849556296,-33.5908765348494,-33.7936278934256,-27.0134627629119,-30.1430582339592,-15.7044250183262,-54.7348148113168
308,132.372912213951,81.5599250599741,81.0366619739428,-33.4192251958743,-33.7085969503951,-26.9951778450664,-30.1020539357303,-15.6030696631087,-54.2492263295047
309,131.922585981879,81.6232516961874,80.9708770914653,-33.2529332588362,-33.6311841558872,-26.970072592666,-30.0593533559816,-15.5007926252536,-53.7941520088116
310,131.522452706417,81.7072071642007,80.9364892344669,-33.0944717242098,-33.5616833445119,-26.9397017070134,-30.0159762590524,-15.3977616468459,-53.3693013725791
311,131.170253071832,81.8110667632146,80.9323573292178,-32.9463115924699,-33.5003883508792,-26.9056198894114,-29.9729424092822,-15.2941444699709,-52.9743839441488
312,130.86372776239,81.93410579243,80.9573403019879,-32.8109238640911,-33.4475930095991,-26.8693818411627,-29.9312715710104,-15.1901088367134,-52.6091092468623
313,130.614887530617,82.0756244286483,81.0192778406009,-32.6808147123445,-33.4066561521518,-26.8301311601366,-29.8896188417226,-15.0947062336666,-52.2883107285749
314,130.432853309664,82.236199878126,81.1238394945778,-32.5501009700228,-33.3794960156288,-26.7861629299136,-29.8465013413858,-15.0129358880255,-52.0206167649366
315,130.311031054736,82.417022984246,81.2666289827351,-32.4236696268838,-33.3642455430567,-26.7377590803632,-29.8027318680613,-14.9388871527782,-51.7964292709804
316,130.242826721039,82.6192845903912,81.4432500238894,-32.3064076726852,-33.3590376774623,-26.6852015413549,-29.7591232198106,-14.8666493809129,-51.6061501617392
317,130.221646263777,82.8441755399443,81.649306336857,-32.2032020971848,-33.3620053618721,-26.628772242758,-29.716488194695,-14.7903119254177,-51.4401813522461
318,130.240895638157,83.0928866762883,81.8804016404544,-32.1189398901401,-33.3712815393128,-26.5687531144419,-29.6756395907761,-14.7039641392808,-51.2889247575341
319,130.293980799385,83.3666088428061,82.1321396534982,-32.0585080413091,-33.384999152811,-26.5054260862762,-29.6373902061152,-14.6016953754904,-51.1427822926362
320,130.459011401021,83.6963891484267,82.4535385837416,-32.0540171428789,-33.4418088039223,-26.4453796414845,-29.632543874913,-14.4929795986646,-51.0291536667533
321,130.77412029398,84.0941748518963,82.8682817212854,-32.1130904711545,-33.5586965144534,-26.3903997590246,-29.6728229461525,-14.3859821972974,-50.966918925481
322,131.172748229496,84.532507021323,83.3339704084673,-32.2038840420695,-33.7012983578076,-26.3335646123666,-29.7304179900683,-14.2728296601901,-50.9337004884448
323,131.588335958802,84.9839267248151,83.8082059876248,-32.294553871558,-33.8352504073881,-26.2679523749806,-29.7775195768954,-14.1456484761443,-50.90712077527
324,131.954324233132,85.4209750304808,84.2485898010956,-32.3532559755536,-33.9261887365982,-26.1866412203368,-29.7863182768684,-13.9965651339612,-50.8648022055821
325,132.20415380372,85.8161930064284,84.6127231912173,-32.3481463699904,-33.9397494188411,-26.0827093219053,-29.729004660222,-13.8177061224425,-50.7843671990064
326,132.478116958008,86.2367673928187,84.9902333012473,-32.3110722364357,-33.8928739280372,-25.9618504674566,-29.6168440625356,-13.5947620609036,-50.6996624601074
327,132.903689556568,86.7391704448053,85.4634290581434,-32.2883646495381,-33.8253921910232,-25.8341478170941,-29.4811492566512,-13.32901695578,-50.6488056943359
328,133.395087710323,87.279871502986,85.9789344797943,-32.2699054648535,-33.7372729605772,-25.6992636027872,-29.3241819686984,-13.035987376553,-50.6158258226471
329,133.866527530199,87.8153399079584,86.4833735840885,-32.2455765379373,-33.6284849894773,-25.5568600565056,-29.1482039248063,-12.7311898927039,-50.5847517659964
330,134.23222512712,88.3020450003202,86.9233703889145,-32.2052597243454,-33.4989970305013,-25.4065994102185,-28.9554768511043,-12.4301410737137,-50.5396124453389
331,134.40639661201,88.6964561206691,87.2455489121609,-32.1388368796334,-33.3487778364275,-25.2481438958955,-28.7482624737217,-12.1483574890637,-50.4644367816299
332,134.303258095793,88.9550426096027,87.3965331717163,-32.0361898593568,-33.1777961600336,-25.0811557455061,-28.5288225187878,-11.9013557082351,-50.3432536958246
333,134.040074698754,89.1819879240676,87.4487863465949,-31.9070764126593,-32.9842983712775,-24.9006602783549,-28.2829886957184,-11.6645593408534,-50.2062727607269
334,133.757725589174,89.4685720805134,87.4886278346966,-31.7650105284743,-32.7682564313365,-24.7043032028907,-28.0026849664266,-11.4113452028783,-50.0817483181255
335,133.405847949967,89.7519092587923,87.4834659822384,-31.6055084220426,-32.532227479818,-24.4956773347989,-27.6993114357874,-11.1541596732918,-49.950776442453
336,132.934078964051,89.9691136387566,87.400709135437,-31.4240863086048,-32.2787686563296,-24.2783754897651,-27.3842682086761,-10.9054491310761,-49.7944532081416
337,132.292055814342,90.0572994002588,87.2077656405093,-31.2162604034018,-32.0104371004788,-24.0559904834746,-27.0689553899678,-10.6776599552134,-49.5938746896237
338,131.429415683756,89.9535807231511,86.8720438436722,-30.9775469216742,-31.7297899518731,-23.8321151316129,-26.7647730845377,-10.4832385246857,-49.3301369613318
339,130.308801461657,89.6754344580905,86.3778497108938,-30.6729845942525,-31.4075238147951,-23.6015450321648,-26.4253396523446,-10.3011613002134,-48.9941835865668
340,128.959052174443,89.2865615955801,85.748427991427,-30.2912020821134,-31.0262762839788,-23.3578829456108,-26.0183267323648,-10.1093155810538,-48.5985269679052
341,127.429099210586,88.7934125252414,85.0095952064161,-29.8631004957172,-30.6065159847091,-23.1029324313799,-25.5762143480001,-9.91851400399478,-48.1566164386928
342,125.767873958558,88.2024376366961,84.1871678770052,-29.4195809455243,-30.1687115422711,-22.8384970489011,-25.1314825226521,-9.73956920582419,-47.6819013322752
343,124.02430780683,87.5200873195657,83.3069625243386,-28.9915445419949,-29.7333315819498,-22.5663803576033,-24.7166112797224,-9.58329382332983,-47.1878309819982
