"wl","gt_s","gt","g_s","r_s","g","r"
300,20.581213165833,-30.0673812146795,19.6627751906756,35.0775134313542,-5.18340902564326,-13.9918591457623
301,20.8279179191347,-29.8697778072349,19.9554198791426,35.1615038457756,-5.12356157883039,-13.76661627312
302,21.0680575593228,-29.6826620406327,20.2409611128776,35.250368825697,-5.06202080065769,-13.5489380685238
303,21.3014939839058,-29.5068619547016,20.5193388630264,35.3445564443152,-4.99859991189983,-13.3390642729699
304,21.5280890903917,-29.3432055892702,20.790493100735,35.444514774827,-4.93311213333151,-13.1372346274543
305,21.7477047762891,-29.1925209841673,21.0543637971492,35.5506918904291,-4.86537068572741,-12.9436888729731
306,21.9602029391061,-29.0556361792217,21.3108909234148,35.6635358643185,-4.79518878986221,-12.7586667505225
307,22.1663147141115,-28.9328077257306,21.560879255499,35.7845018147445,-4.72133712064007,-12.5819640691549
308,22.3668186844234,-28.8223180774533,21.8050051957812,35.9135484267502,-4.64328915777795,-12.4128140071489
309,22.5616479193235,-28.7220341279116,22.0430161550262,36.0488791237222,-4.56191232926971,-12.2506123593396
310,22.7507354880939,-28.6298227706273,22.2746595439986,36.1886973290474,-4.47807406310925,-12.0947549205619
311,22.9340144600165,-28.5435508991222,22.499682773463,36.3312064661124,-4.39264178729045,-11.944637485651
312,23.1114179043733,-28.4610854069182,22.7178332541841,36.474609958304,-4.30648292980717,-11.799655849442
313,23.2814993342869,-28.389167972465,22.9274742391032,36.6243881856806,-4.21032738531857,-11.6581669840183
314,23.4432964155073,-28.3339475161318,23.1276544540412,36.7850451179716,-4.09888995088163,-11.5202617002579
315,23.5974684462569,-28.2924017943187,23.3191495190822,36.9533195630701,-3.97901540808696,-11.3879365511874
316,23.744674724758,-28.2615085634264,23.5027350543101,37.1259503288697,-3.85754853852521,-11.2631880898334
317,23.8855745492331,-28.2382455798552,23.679186679809,37.2996762232634,-3.741334123787,-11.1480128692224
318,24.0208272179046,-28.2195906000054,23.8492800156627,37.4712360541448,-3.63721694546296,-11.044407442381
319,24.1510920289949,-28.2025213802777,24.0137906819555,37.6373686294069,-3.55204178514371,-10.9543683623359
320,24.2705435025699,-28.2036359184332,24.1719729559471,37.8169511709559,-3.48815300272969,-10.8802007923964
321,24.3765539196277,-28.2330371111239,24.3231513503254,38.0210426506862,-3.44071168204857,-10.8218972916576
322,24.4745792197892,-28.2779600630861,24.468206838316,38.2346545014735,-3.4057876905818,-10.7779855068238
323,24.5700753426755,-28.3256398790564,24.6080203931447,38.4427981561936,-3.37945089581087,-10.7469930845997
