Relative:208,pelco_blank_1,Relative:208,pelco_blank_1,Relative:208,gt_s,Relative:208,gt_s,Relative:208,gt_s,Relative:208,pelco_blank_2,Relative:208,pelco_blank_2,Relative:208,gt,Relative:208,gt,Relative:208,gt,Relative:208,g_s,Relative:208,g_s,Relative:208,g_s,Relative:208,r_s,Relative:208,r_s,Relative:208,r_s,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,r,Relative:208,r,Relative:208,r,Relative:208,r
178.188,201.08,178.188,139.25,178.188,48.81,178.188,-75.94,178.188,76.11,178.188,101.37,178.188,49.32,178.188,50.68,178.188,60.92,178.188,93.69,178.188,-1.37,178.188,50.68,178.188,-11.95,178.188,77.82,178.188,-19.8,178.188,-0.85,178.188,32.94,178.188,72.35,178.188,34.13,178.188,48.46,178.188,33.96,178.188,25.77,178.188,5.29,178.188,1.37
178.574,201.08,178.574,139.25,178.574,48.81,178.574,-75.94,178.574,76.11,178.574,101.37,178.574,49.32,178.574,50.68,178.574,60.92,178.574,93.69,178.574,-1.37,178.574,50.68,178.574,-11.95,178.574,77.82,178.574,-19.8,178.574,-0.85,178.574,32.94,178.574,72.35,178.574,34.13,178.574,48.46,178.574,33.96,178.574,25.77,178.574,5.29,178.574,1.37
178.959,201.08,178.959,139.25,178.959,48.81,178.959,-75.94,178.959,76.11,178.959,101.37,178.959,49.32,178.959,50.68,178.959,60.92,178.959,93.69,178.959,-1.37,178.959,50.68,178.959,-11.95,178.959,77.82,178.959,-19.8,178.959,-0.85,178.959,32.94,178.959,72.35,178.959,34.13,178.959,48.46,178.959,33.96,178.959,25.77,178.959,5.29,178.959,1.37
179.345,45.03,179.345,41.23,179.345,35.03,179.345,77.39,179.345,75.8,179.345,112.74,179.345,20.7,179.345,-12.42,179.345,78.03,179.345,93.31,179.345,17.83,179.345,-2.23,179.345,74.52,179.345,22.93,179.345,-26.75,179.345,85.03,179.345,-4.78,179.345,-160.51,179.345,22.93,179.345,-36.94,179.345,17.52,179.345,17.52,179.345,71.02,179.345,7.64
179.731,3390.91,179.731,-159.09,179.731,158.82,179.731,91.18,179.731,-60.78,179.731,92.16,179.731,595.1,179.731,681.37,179.731,324.51,179.731,26.47,179.731,164.71,179.731,336.27,179.731,-307.84,179.731,211.76,179.731,380.39,179.731,51.96,179.731,-157.84,179.731,7.84,179.731,337.25,179.731,537.25,179.731,40.2,179.731,-38.24,179.731,-218.63,179.731,494.12
180.117,127.52,180.117,221.56,180.117,3233.33,180.117,-5383.33,180.117,3766.67,180.117,500,180.117,-1883.33,180.117,916.67,180.117,-7816.67,180.117,5250,180.117,1733.33,180.117,-150,180.117,2766.67,180.117,5200,180.117,1400,180.117,-2316.67,180.117,516.67,180.117,-7333.33,180.117,-1200,180.117,2466.67,180.117,4416.67,180.117,-4116.67,180.117,-2916.67,180.117,2533.33
180.503,10.34,180.503,-32.27,180.503,78.52,180.503,39.74,180.503,9.79,180.503,9.31,180.503,13.25,180.503,42.84,180.503,1.31,180.503,-31.15,180.503,62.05,180.503,25.66,180.503,23.63,180.503,8.59,180.503,6.21,180.503,54.06,180.503,-3.94,180.503,-21.96,180.503,-2.86,180.503,-22.43,180.503,23.99,180.503,14.44,180.503,45.94,180.503,-14.32
180.888,26.32,180.888,-1018.42,180.888,13.52,180.888,62.76,180.888,66.86,180.888,24.57,180.888,48.86,180.888,43.52,180.888,14.19,180.888,9.62,180.888,-3.81,180.888,37.43,180.888,45.14,180.888,14.48,180.888,46.86,180.888,52.86,180.888,24.48,180.888,72.38,180.888,60.19,180.888,28.57,180.888,12.86,180.888,32.67,180.888,22.76,180.888,34.29
181.274,63.71,181.274,61.2,181.274,-32.67,181.274,-109.41,181.274,-175.25,181.274,64.36,181.274,-78.71,181.274,-3.47,181.274,-155.94,181.274,-124.26,181.274,138.61,181.274,-114.36,181.274,44.55,181.274,130.69,181.274,-223.76,181.274,-224.26,181.274,246.04,181.274,-186.14,181.274,-186.14,181.274,29.7,181.274,27.23,181.274,-44.06,181.274,-277.72,181.274,-209.9
181.659,42.22,181.659,92.22,181.659,54.15,181.659,-26.59,181.659,22.93,181.659,23.9,181.659,19.76,181.659,52.93,181.659,79.27,181.659,79.27,181.659,1.95,181.659,142.68,181.659,-1.46,181.659,-1.95,181.659,53.66,181.659,14.39,181.659,11.95,181.659,17.56,181.659,-40.98,181.659,-51.71,181.659,-52.93,181.659,29.02,181.659,-19.76,181.659,95.61
