Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2
178.188,67.33,178.188,44.44,178.188,124.22,178.188,32.67,178.188,64.67,178.188,82.67,178.188,19.33,178.188,60.67,178.188,67.33,178.188,29.33,178.188,25.11,178.188,49.33,178.188,60.44,178.188,118.22,178.188,53.33,178.188,91.56,178.188,69.56,178.188,115.78,178.188,139.33,178.188,-7.33,178.188,-13.11,178.188,10.44,178.188,59.56,178.188,43.33,178.188,96.44,178.188,-30,178.188,138.44
178.574,67.33,178.574,44.44,178.574,124.22,178.574,32.67,178.574,64.67,178.574,82.67,178.574,19.33,178.574,60.67,178.574,67.33,178.574,29.33,178.574,25.11,178.574,49.33,178.574,60.44,178.574,118.22,178.574,53.33,178.574,91.56,178.574,69.56,178.574,115.78,178.574,139.33,178.574,-7.33,178.574,-13.11,178.574,10.44,178.574,59.56,178.574,43.33,178.574,96.44,178.574,-30,178.574,138.44
178.959,67.33,178.959,44.44,178.959,124.22,178.959,32.67,178.959,64.67,178.959,82.67,178.959,19.33,178.959,60.67,178.959,67.33,178.959,29.33,178.959,25.11,178.959,49.33,178.959,60.44,178.959,118.22,178.959,53.33,178.959,91.56,178.959,69.56,178.959,115.78,178.959,139.33,178.959,-7.33,178.959,-13.11,178.959,10.44,178.959,59.56,178.959,43.33,178.959,96.44,178.959,-30,178.959,138.44
179.345,113.38,179.345,445.07,179.345,90.85,179.345,268.31,179.345,493.66,179.345,132.39,179.345,164.08,179.345,-113.38,179.345,147.18,179.345,436.62,179.345,393.66,179.345,305.63,179.345,247.89,179.345,-36.62,179.345,180.28,179.345,104.23,179.345,320.42,179.345,410.56,179.345,437.32,179.345,248.59,179.345,7.75,179.345,-78.17,179.345,183.1,179.345,133.1,179.345,269.01,179.345,-62.68,179.345,-100.7
179.731,48.97,179.731,-185.57,179.731,-99.48,179.731,108.76,179.731,1.55,179.731,175.26,179.731,-29.38,179.731,124.23,179.731,-165.46,179.731,-212.37,179.731,-7.73,179.731,147.42,179.731,32.99,179.731,-105.15,179.731,-329.9,179.731,-282.47,179.731,-69.59,179.731,-36.6,179.731,26.29,179.731,-66.49,179.731,93.3,179.731,337.63,179.731,39.18,179.731,-39.69,179.731,-147.42,179.731,-36.6,179.731,-50
180.117,356.35,180.117,44.44,180.117,89.68,180.117,200.79,180.117,162.7,180.117,9.52,180.117,-132.54,180.117,265.87,180.117,-62.7,180.117,-206.35,180.117,278.57,180.117,90.48,180.117,139.68,180.117,-142.86,180.117,-228.57,180.117,41.27,180.117,-19.84,180.117,-7.14,180.117,264.29,180.117,38.89,180.117,186.51,180.117,89.68,180.117,-111.11,180.117,-243.65,180.117,-204.76,180.117,-223.02,180.117,-37.3
180.503,-78.11,180.503,110.27,180.503,51.62,180.503,78.65,180.503,65.68,180.503,40,180.503,14.86,180.503,13.24,180.503,73.24,180.503,22.7,180.503,-25.68,180.503,-48.11,180.503,21.62,180.503,74.59,180.503,51.89,180.503,76.76,180.503,32.7,180.503,54.32,180.503,-16.49,180.503,42.97,180.503,118.11,180.503,-82.43,180.503,29.19,180.503,35.41,180.503,130.27,180.503,54.32,180.503,38.65
180.888,-145.77,180.888,95.77,180.888,271.13,180.888,-47.18,180.888,200.7,180.888,-70.42,180.888,152.82,180.888,89.44,180.888,226.06,180.888,222.54,180.888,123.24,180.888,238.03,180.888,169.01,180.888,76.06,180.888,270.42,180.888,149.3,180.888,16.2,180.888,252.82,180.888,245.77,180.888,271.13,180.888,413.38,180.888,-100.7,180.888,36.62,180.888,380.99,180.888,32.39,180.888,-130.28,180.888,327.46
181.274,-930,181.274,-144,181.274,30,181.274,-730,181.274,-90,181.274,424,181.274,814,181.274,-478,181.274,-802,181.274,-248,181.274,386,181.274,-452,181.274,160,181.274,-440,181.274,192,181.274,-616,181.274,50,181.274,50,181.274,-314,181.274,-706,181.274,-182,181.274,-1058,181.274,56,181.274,-794,181.274,-636,181.274,178,181.274,94
181.659,110.58,181.659,-20.44,181.659,75.55,181.659,82.85,181.659,170.44,181.659,147.45,181.659,66.79,181.659,111.31,181.659,262.41,181.659,118.25,181.659,-28.83,181.659,86.86,181.659,-11.68,181.659,83.21,181.659,163.5,181.659,-1.46,181.659,114.23,181.659,102.55,181.659,77.01,181.659,145.62,181.659,48.54,181.659,139.78,181.659,150.36,181.659,47.81,181.659,111.68,181.659,120.07,181.659,34.67
